#,Player,GS,MIN,FG MADE,FG_ATT,FG%,3PT MADE,3PT_ATT,3PT%,FT MADE,FT_ATT,FT%,PTS,ORB,DRB,REB,STL,BLK,A,TO,PF,Opponent,Date
23,Clara Robbins,*,27,2,4,0.5,0,1,0.0,0,0,0.0,4,1,5,6,2,1,1,1,2,Eastern Oregon,2024-12-07
32,Eliza DiGiulio,-,17,4,5,0.8,2,2,1.0,0,0,0.0,10,0,1,1,0,0,0,0,0,Eastern Oregon,2024-12-07
13,Keeley Wright,-,7,0,2,0.0,0,0,0.0,2,4,0.5,2,0,1,1,0,0,1,2,1,Eastern Oregon,2024-12-07
22,Sierra Scheppele,-,15,0,2,0.0,0,1,0.0,0,0,0.0,0,0,1,1,1,0,0,0,3,Eastern Oregon,2024-12-07
5,Makayla Scurlock,-,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1,0,0,0,0,1,Eastern Oregon,2024-12-07
33,Mallory Williams,-,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1,1,1,0,1,0,Eastern Oregon,2024-12-07
34,Shakia Teague-Perry,-,4,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0,1,0,0,0,1,0,Eastern Oregon,2024-12-07
1,Meghan McIntyre,*,27,5,9,0.5555555555555556,4,6,0.6666666666666666,5,6,0.8333333333333334,19,0,3,3,0,0,4,4,1,Evergreen (WA),2025-02-01
32,Eliza DiGiulio,*,27,6,12,0.5,1,6,0.16666666666666666,2,2,1.0,15,1,0,1,1,0,1,1,2,Evergreen (WA),2025-02-01
10,Bridgette McIntyre,*,26,3,5,0.6,2,3,0.6666666666666666,3,4,0.75,11,0,4,4,1,0,5,2,1,Evergreen (WA),2025-02-01
23,Clara Robbins,*,22,4,5,0.8,1,1,1.0,2,2,1.0,11,1,7,8,0,1,0,0,0,Evergreen (WA),2025-02-01
12,Emma Schmerbach,*,29,3,7,0.42857142857142855,0,0,0.0,0,0,0.0,6,0,6,6,2,0,0,0,3,Evergreen (WA),2025-02-01
22,Sierra Scheppele,-,17,2,5,0.4,2,5,0.4,0,0,0.0,6,0,1,1,1,0,4,1,2,Evergreen (WA),2025-02-01
33,Mallory Williams,-,15,2,4,0.5,2,3,0.6666666666666666,0,0,0.0,6,1,0,1,0,0,1,1,2,Evergreen (WA),2025-02-01
21,Jenika Zurita,-,9,1,2,0.5,0,1,0.0,0,0,0.0,2,1,2,3,0,0,1,0,0,Evergreen (WA),2025-02-01
24,Ali Stevens,-,3,1,2,0.5,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,0,0,Evergreen (WA),2025-02-01
