#,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Opponent,Date
13,Keeley Wright,-,5,1-1,0-0,0-0,0-0,0,0,1,0,0,0,2,Oregon Tech,02/18/25
33,Mallory Williams,-,11,0-2,0-2,0-0,0-0,0,3,0,0,0,0,0,Oregon Tech,02/18/25
5,Makayla Scurlock,-,7,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Oregon Tech,02/18/25
22,Sierra Scheppele,-,4,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Oregon Tech,02/18/25
20,Morgan Baird,*,19,7-11,0-1,0-0,1-1,2,0,2,1,0,2,14,Bushnell (OR),12/21/24
12,Emma Schmerbach,*,20,6-10,0-0,1-1,1-7,8,1,2,1,0,1,13,Bushnell (OR),12/21/24
01,Meghan McIntyre,*,22,2-7,0-1,5-6,3-1,4,0,1,0,0,1,9,Bushnell (OR),12/21/24
10,Bridgette McIntyre,*,26,1-5,1-3,0-0,0-4,4,0,2,1,0,0,3,Bushnell (OR),12/21/24
23,Clara Robbins,*,23,1-2,0-0,0-0,1-5,6,2,2,1,3,3,2,Bushnell (OR),12/21/24
32,Eliza DiGiulio,-,19,4-5,1-1,1-1,1-0,1,3,1,3,1,1,10,Bushnell (OR),12/21/24
22,Sierra Scheppele,-,8,1-4,1-4,2-2,0-1,1,2,0,1,1,0,5,Bushnell (OR),12/21/24
13,Keeley Wright,-,14,2-4,0-0,0-2,0-1,1,1,1,5,0,2,4,Bushnell (OR),12/21/24
33,Mallory Williams,-,19,1-2,1-2,0-0,0-9,9,2,1,1,0,1,3,Bushnell (OR),12/21/24
05,Makayla Scurlock,-,10,1-4,0-2,0-0,0-1,1,1,1,0,0,0,2,Bushnell (OR),12/21/24
34,Shakia Teague-Perry,-,10,0-0,0-0,2-4,0-1,1,1,0,1,2,1,2,Bushnell (OR),12/21/24
21,Jenika Zurita,-,6,0-1,0-0,0-0,0-0,0,1,1,0,0,0,0,Bushnell (OR),12/21/24
24,Ali Stevens,-,4,0-2,0-0,0-0,1-0,1,0,0,1,0,0,0,Bushnell (OR),12/21/24
1,Meghan McIntyre,*,23,8-11,0-1,0-0,1-1,2,0,6,2,0,3,16,Corban (OR),12/20/24
20,Morgan Baird,*,22,6-9,1-2,0-0,0-4,4,1,2,3,1,0,13,Corban (OR),12/20/24
10,Bridgette McIntyre,*,22,3-5,3-5,0-0,0-2,2,0,0,0,0,0,9,Corban (OR),12/20/24
12,Emma Schmerbach,*,18,4-7,0-0,0-1,0-1,1,2,0,1,1,3,8,Corban (OR),12/20/24
23,Clara Robbins,*,20,1-2,0-0,1-2,1-4,5,2,0,1,2,2,3,Corban (OR),12/20/24
22,Sierra Scheppele,-,15,4-6,4-6,0-0,0-0,0,2,0,2,0,1,12,Corban (OR),12/20/24
13,Keeley Wright,-,17,4-7,0-0,3-3,1-0,1,1,3,0,0,3,11,Corban (OR),12/20/24
